name,city,iata,icao,lat,lng
Sehwan Sharif Airport,Sehwan Sharif,SYW,OPSN,26.4731,67.7172
Turbat International Airport,Turbat,TUK,OPTU,25.9864,63.0302
Sialkot Airport,Sialkot,SKT,OPST,32.5356,74.3639
Kadanwari Airport,Kadanwari,KCF,OPKW,27.2064,69.1564
Sahiwal Airport,Sindh,RZS,OPSW,31.8894,72.3917
Mirpur Khas Air Base,Mirpur Khas,MPD,OPMK,25.6825,69.0728
Minhas Air Base,Kamra,ATG,OPMS,33.8691,72.4009
Rafiqui Air Base,Shorkot,,OPRQ,30.7581,72.2825
Faisal Air Base,Karachi,,OPSF,24.8742,67.1185
Mushaf Air Base,Sargodha,SGI,OPSR,32.0486,72.665
Babelthuap Airport,Babelthuap,ROR,PTRO,7.3677,134.544
Yasser Arafat International Airport,Gaza,GZA,LVGZ,31.2464,34.2761
Bocas Del Toro International Airport,Bocas Del Toro,BOC,MPBO,9.3408,-82.2508
Cap Manuel Niño International Airport,Changuinola,CHX,MPCH,9.4586,-82.5168
Enrique Malek International Airport,David,DAV,MPDA,8.391,-82.435
Panama Pacific International Airport,Howard,BLB,MPHO,8.9148,-79.5996
Marcos A. Gelabert International Airport,Panama,PAC,MPMG,8.9733,-79.5556
Ruben Cantu Airport,Santiago,,MPSA,8.0856,-80.9453
Tocumen International Airport,Panama City,PTY,MPTO,9.0714,-79.3835
